Planet Zoo: Arctic Pack,Win,159,71,Mostly Positive,"Dec 17, 2019",9.99,-10,8.99,Simulation,https://store.steampowered.com/app/1196770/Planet_Zoo_Arctic_Pack/?snr=1_7_7_240_150_1,"Simulation, Strategy"
Yu-Gi-Oh! Duel Links,Win,19694,81,Very Positive,"Nov 16, 2017",Free to Play,,0,Free to Play,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"Free to Play, Card Game, Strategy, Anime, Multiplayer, Trading Card Game, Singleplayer, Turn-Based, Competitive, Casual, RPG, Action, Great Soundtrack, Online Co-Op, Memes, Adventure, Simulation, MMORPG, Open World, Survival"
Dawn of Man,"Win, Mac",7406,85,Very Positive,"Mar 1, 2019",24.99,-35,16.24,City Builder,https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_240_150_1,"City Builder, Colony Sim, Strategy, Survival, Simulation, Sandbox, Historical, Indie, Economy, Singleplayer, Choices Matter, Open World, RTS, Casual, Destruction, Story Rich, Multiplayer, Nudity, Political, Roguelike"
EVE Online,"Win, Mac",16674,76,Mostly Positive,"Dec 15, 2010",Free,,0,Space,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_240_150_1,"Space, Massively Multiplayer, Sci-fi, Sandbox, MMORPG, RPG, Open World, Free to Play, Strategy, Action, PvP, Multiplayer, Economy, Space Sim, Simulation, Difficult, Tactical, PvE, Capitalism, Atmospheric"
Age of Empires II (2013),Win,62397,95,Overwhelmingly Positive,"Apr 9, 2013",19.99,,0,Strategy,https://store.steampowered.com/app/221380/Age_of_Empires_II_2013/?snr=1_7_7_240_150_1,"Strategy, RTS, Medieval, Multiplayer, Classic, Historical, Base Building, City Builder, Resource Management, Singleplayer, Tactical, Real-Time, Co-op, Competitive, Masterpiece, Replay Value, Remake, 2D, Isometric, Action"
Total War: WARHAMMER,"Win, Mac, Linux",26009,76,Mostly Positive,"May 24, 2016",59.99,,0,Strategy,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"Strategy, Fantasy, RTS, War, Turn-Based Strategy, Games Workshop, Grand Strategy, Multiplayer, Tactical, Action, Dark Fantasy, Singleplayer, Turn-Based, Atmospheric, Co-op, Story Rich, Open World, RPG, Gore, Warhammer 40K"
Football Manager 2020,"Win, Mac",9508,85,Very Positive,"Nov 18, 2019",49.99,,0,Simulation,https://store.steampowered.com/app/1100600/Football_Manager_2020/?snr=1_7_7_240_150_1,"Simulation, Sports, Management, Soccer, Football, Strategy, Multiplayer, Singleplayer"
Total War™: ROME II - Emperor Edition,"Win, Mac",28329,80,Very Positive,"Sep 2, 2013",59.99,,0,Strategy,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_240_150_1,"Strategy, Turn-Based Strategy, Historical, Grand Strategy, Rome, Tactical, Multiplayer, War, Real Time Tactics, Turn-Based, RTS, Singleplayer, Online Co-Op, Masterpiece, Turn-Based Tactics, Simulation, Co-op, Moddable, Action, Atmospheric"
Cities: Skylines - Sunset Harbor,"Win, Mac, Linux",280,55,Mixed,"Mar 26, 2020",14.99,,0,Strategy,https://store.steampowered.com/app/1146930/Cities_Skylines__Sunset_Harbor/?snr=1_7_7_240_150_1,"Strategy, Simulation, City Builder, Management"
Out of the Park Baseball 21,"Win, Mac, Linux",254,93,Very Positive,"Mar 20, 2020",39.99,,0,Simulation,https://store.steampowered.com/app/1087280/Out_of_the_Park_Baseball_21/?snr=1_7_7_240_150_1,"Simulation, Sports, Strategy, Indie, Management, Baseball"
Age of Empires® III: Complete Collection,Win,19581,89,Very Positive,"Jan 5, 2012",39.99,,0,Strategy,https://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/?snr=1_7_7_240_150_1,"Strategy, RTS, Base Building, Multiplayer, Historical, Resource Management, City Builder, War, Simulation, Real-Time, Singleplayer, Classic, Military, Building, Open World, Co-op, Action, Online Co-Op, Real-Time with Pause, Adventure"
The Walking Dead: Saints & Sinners,"Win, VR Only",2165,89,Very Positive,"Jan 23, 2020",39.99,,0,Action,https://store.steampowered.com/app/916840/The_Walking_Dead_Saints__Sinners/?snr=1_7_7_240_150_1,"Action, Adventure, RPG, Indie, Simulation, Strategy, VR, Zombies, Horror, Survival, Gore, Violent, Open World, Masterpiece, Singleplayer, First-Person, Survival Horror, Multiplayer, FPS"
UNO,Win,13668,72,Mostly Positive,"Jan 3, 2017",9.99,,0,Card Game,https://store.steampowered.com/app/470220/UNO/?snr=1_7_7_240_150_1,"Card Game, Tabletop, Multiplayer, Casual, Board Game, Family Friendly, Funny, Strategy, Co-op, Online Co-Op, Singleplayer, Classic, Team-Based, Replay Value, Action, Cult Classic, Crime, Local Multiplayer"
Paladins®,Win,258244,85,Very Positive,"May 8, 2018",Free to Play,,0,Hero Shooter,https://store.steampowered.com/app/444090/Paladins/?snr=1_7_7_240_150_1,"Hero Shooter, Free to Play, Multiplayer, FPS, Shooter, Action, Team-Based, First-Person, PvP, MOBA, Online Co-Op, Fantasy, Early Access, Strategy, Co-op, Massively Multiplayer, Funny, Adventure, Survival, Anime"
One Step From Eden,"Win, Mac, Linux",1668,93,Very Positive,"Mar 26, 2020",19.99,,0,Action,https://store.steampowered.com/app/960690/One_Step_From_Eden/?snr=1_7_7_240_150_1,"Action, Strategy, Indie, Adventure, Deckbuilding, Pixel Graphics, Roguelite, Difficult, Card Game, Roguelike, Great Soundtrack, Replay Value, Action Roguelike, Female Protagonist, Anime, Bullet Hell"
Crusader Kings II,"Win, Mac, Linux",53030,90,Very Positive,"Feb 14, 2012",Free To Play,,0,Grand Strategy,https://store.steampowered.com/app/203770/Crusader_Kings_II/?snr=1_7_7_240_150_1,"Grand Strategy, Medieval, Strategy, Historical, Political Sim, Simulation, RPG, Sandbox, Multiplayer, Politics, Diplomacy, Replay Value, Singleplayer, Real-Time with Pause, Moddable, Political, Character Customization, Great Soundtrack, RTS, Education"
Golf With Your Friends,"Win, Mac, Linux",18903,89,Very Positive,"Jan 29, 2016",7.99,,0,Multiplayer,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_240_150_1,"Multiplayer, Mini Golf, Sports, Casual, Golf, Indie, Early Access, Funny, Family Friendly, Co-op, Singleplayer, Great Soundtrack, Simulation, Strategy, Physics, Difficult, Psychological Horror, Massively Multiplayer, Memes, Action"
Hell Let Loose,Win,10083,83,Very Positive,"Jun 6, 2019",29.99,-20,23.99,Action,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_240_150_1,"Action, Shooter, Simulation, World War II, Multiplayer, Strategy, War, FPS, Realistic, Indie, First-Person, Violent, Singleplayer, Military, Early Access, Gore, Mature, Massively Multiplayer, Tanks, Historical"
Fantasy Grounds,"Win, Mac",669,79,Mostly Positive,"May 9, 2014",39.99,,0,RPG,https://store.steampowered.com/app/252690/Fantasy_Grounds/?snr=1_7_7_240_150_1,"RPG, Strategy, Software, Online Co-Op, Indie, Dungeons & Dragons, Turn-Based, Fantasy, Tabletop, Sandbox, Utilities, Game Development, Story Rich, Party-Based RPG, Multiplayer, Old School, Board Game"
Jurassic World Evolution: Return To Jurassic Park,Win,202,83,Very Positive,"Dec 10, 2019",19.99,-30,13.99,Strategy,https://store.steampowered.com/app/1144410/Jurassic_World_Evolution_Return_To_Jurassic_Park/?snr=1_7_7_240_150_1,"Strategy, Simulation, Dinosaurs, Building"
Expansion - Hearts of Iron IV: La Résistance,"Win, Mac, Linux",936,44,Mixed,"Feb 25, 2020",19.99,,0,Strategy,https://store.steampowered.com/app/1158100/Expansion__Hearts_of_Iron_IV_La_Rsistance/?snr=1_7_7_240_150_1,"Strategy, Simulation, World War II, Grand Strategy, Alternate History"
FOR HONOR™,Win,43707,60,Mixed,"Feb 13, 2017",14.99,,0,Medieval,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"Medieval, Action, Swordplay, Multiplayer, PvP, Fighting, Third Person, War, Co-op, Gore, Singleplayer, Online Co-Op, Hack and Slash, Realistic, Strategy, Atmospheric, RPG, Fantasy, MOBA, Story Rich"
XCOM® 2,"Win, Mac, Linux",34151,85,Very Positive,"Feb 4, 2016",59.99,,0,Strategy,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_240_150_1,"Strategy, Turn-Based, Tactical, Turn-Based Strategy, Aliens, Sci-fi, Turn-Based Tactics, Character Customization, Singleplayer, Difficult, Multiplayer, Moddable, RPG, Futuristic, Perma Death, Action, Atmospheric, Great Soundtrack, Masterpiece, Co-op"
Totally Accurate Battle Simulator,"Win, Mac",27132,97,Overwhelmingly Positive,"Apr 1, 2019",14.99,,0,Simulation,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"Simulation, Funny, Sandbox, War, Strategy, Singleplayer, Action, Physics, Comedy, Medieval, Indie, Casual, Memes, Adventure, Realistic, Difficult, Early Access, Fighting, 1980s, Family Friendly"
Squad,Win,33904,87,Very Positive,"Dec 14, 2015",39.99,,0,Military,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_240_150_1,"Military, FPS, Realistic, Multiplayer, Tactical, Shooter, War, Team-Based, Action, Strategy, First-Person, Simulation, Early Access, Open World, Co-op, Massively Multiplayer, Atmospheric, Walking Simulator, Indie, RPG"
Bloons TD 6,"Win, Mac",19936,94,Very Positive,"Dec 17, 2018",0.99,,0,Strategy,https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_240_150_1,"Strategy, Tower Defense, Singleplayer, Co-op, Multiplayer, Online Co-Op, Casual, Family Friendly, 3D, Sandbox, Cartoony, Funny, Difficult, Action, Survival, 2D, Great Soundtrack, Indie, Cute"
World of Tanks Blitz,"Win, Mac",42110,77,Mostly Positive,"Nov 9, 2016",Free to Play,,0,Tanks,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_240_150_1,"Tanks, Free to Play, Action, Multiplayer, World War II, War, Massively Multiplayer, Strategy, PvP, Shooter, Military, Simulation, Online Co-Op, Competitive, Arcade, Singleplayer, Psychological Horror, FPS, Open World, First-Person"
Tropico 6,"Win, Mac, Linux",7792,86,Very Positive,"Mar 29, 2019",49.99,,0,Strategy,https://store.steampowered.com/app/492720/Tropico_6/?snr=1_7_7_240_150_1,"Strategy, Simulation, City Builder, Economy, Management, Political Sim, Sandbox, Politics, Multiplayer, Building, Political, Singleplayer, Open World, Choices Matter, Casual, Funny, Destruction, Co-op, Multiple Endings, Story Rich"
Endzone - A World Apart,Win,600,73,Mostly Positive,"Apr 2, 2020",23.99,-15,20.39,Strategy,https://store.steampowered.com/app/933820/Endzone__A_World_Apart/?snr=1_7_7_240_150_1,"Strategy, Simulation, City Builder, Indie, Survival, Post-apocalyptic, Base Building, Early Access, Sandbox, Building, Singleplayer, Management, Colony Sim, Economy, Difficult, Resource Management, Procedural Generation, Real-Time, Realistic, Atmospheric"
Ticket to Ride,"Win, Mac, Linux",1317,87,Very Positive,"May 24, 2012",9.99,,0,Board Game,https://store.steampowered.com/app/108200/Ticket_to_Ride/?snr=1_7_7_240_150_1,"Board Game, Tabletop, Strategy, Casual, Multiplayer, Turn-Based, Trains, Indie, Family Friendly, Singleplayer, Addictive, Card Game, Touch-Friendly, Turn-Based Tactics, Local Multiplayer, 2D, Turn-Based Strategy"
Pathfinder: Kingmaker - Enhanced Edition,"Win, Mac, Linux",11806,76,Mostly Positive,"Sep 25, 2018",29.99,,0,RPG,https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Edition/?snr=1_7_7_240_150_1,"RPG, Fantasy, Isometric, CRPG, Party-Based RPG, Singleplayer, Choices Matter, Character Customization, Story Rich, Real-Time with Pause, Adventure, Dungeons & Dragons, Sexual Content, Strategy, Medieval, Gore, Female Protagonist, Masterpiece, Nudity, Early Access"
